Party,Title,State,Full Name,Committees,Years in this Chamber,Gun Rights,NRA Grand Total,Top Industry,Total Industry Amount,Top Contributor,Total Contributor Amount,@Photo
Republican,Representative,Michigan,John R. Moolenaar,Appropriations ,3,"$10,554","$10,554",Leadership PACs,"$200,100",DowDuPont,"$152,390",/Users/enickles/Desktop/thumbsbw/Moolenaar_John_R.jpg
Republican,Representative,West Virginia,Alexander X. Mooney,Financial Services ,3,"$47,248","$15,016",Leadership PACs,"$389,442",Nutramax Laboratories,"$43,300",/Users/enickles/Desktop/thumbsbw/Mooney_Alexander_X.jpg
Democrat,Representative,Wisconsin,Gwen Moore,Financial Services ,13,$0,$0,Insurance,"$634,700",United Auto Workers,"$80,000",/Users/enickles/Desktop/thumbsbw/Moore_Gwen.jpg
Republican,Senator,Kansas,Jerry Moran,"Appropriations 
Banking, Housing, and Urban Affairs
Commerce, Science, and Transportation
Environment and Public Works 
Indian Affairs
Veterans' Affairs",7,"$69,049","$34,149",Crop Production & Basic Processing,"$935,809",Ciciora Custom Homes,"$149,500",/Users/enickles/Desktop/thumbsbw/Moran_Jerry.jpg
Democrat,Representative,Massachusetts,Seth Moulton,"Armed Services  
Budget ",3,$0,$0,Democratic/Liberal,"$1,292,585",Democracy Engine,"$1,175,369",/Users/enickles/Desktop/thumbsbw/Moulton_Seth.jpg
Republican,Representative,Oklahoma,Markwayne Mullin,Energy and Commerce ,5,"$36,211","$8,311",Oil & Gas,"$533,050",Devon Energy,"$54,550",/Users/enickles/Desktop/thumbsbw/Mullin_Markwayne.jpg
Republican,Senator,Alaska,Lisa Murkowski,"Appropriations 
Energy and Natural Resources
Health, Education, Labor, and Pensions
Committee on Indian Affairs",15,"$169,544","$141,536",Oil & Gas,"$1,413,744",ConocoPhillips,"$81,450",/Users/enickles/Desktop/thumbsbw/Murkowski_Lisa.jpg
Democrat,Senator,Connecticut,Christopher Murphy,"Appropriations 
Foreign Relations
Health, Education, Labor, and Pensions",5,$0,"-$101,864",Retired,"$2,686,883",Democratic Congressional Campaign Cmte,"$253,004",/Users/enickles/Desktop/thumbsbw/Murphy_Christopher.jpg
Democrat,Representative,Florida,Stephanie N. Murphy,"Armed Services  
Small Business ",1,$0,"-$59,807",Leadership PACs,"$122,700",EMILY's List,"$36,665",/Users/enickles/Desktop/thumbsbw/Murphy_Stephanie_N.jpg
Democrat,Senator,Washington,Patty Murray,"Appropriations 
Budget
Health, Education, Labor, and Pensions
Veterans' Affairs",25,$0,"-$621,502",Lawyers/Law Firms,"$2,620,343",EMILY's List,"$620,607",/Users/enickles/Desktop/thumbsbw/Murray_Patty.jpg
Democrat,Representative,New York,Jerrold Nadler,Judiciary ,27,$0,$0,Lawyers/Law Firms,"$1,714,565",American Assn for Justice,"$122,500",/Users/enickles/Desktop/thumbsbw/Nadler_Jerrold.jpg
Democrat,Representative,California,Grace F. Napolitano,"Natural Resources  
Transportation and Infrastructure ",19,$0,$0,Transportation Unions,"$347,500",National Assn of Realtors,"$87,000",/Users/enickles/Desktop/thumbsbw/Napolitano_Grace_F.jpg
Democrat,Representative,Massachusetts,Richard E. Neal,"Ways and Means 
Joint Commitee on Taxation",29,$0,$0,Insurance,"$2,241,456",Massachusetts Mutual Life Insurance,"$391,682",/Users/enickles/Desktop/thumbsbw/Neal_Richard_E.jpg
Democrat,Senator,Florida,Bill Nelson,"Armed Services
Commerce, Science, and Transportation
Finance 
Special Committee on Aging",17,$0,"-$704,410",Lawyers/Law Firms,"$7,955,718",Harris Corp,"$180,430",/Users/enickles/Desktop/thumbsbw/Nelson_Bill.jpg
Republican,Representative,Washington,Dan Newhouse,"Appropriations  
Rules ",3,"$7,250","$4,000",Crop Production & Basic Processing,"$349,194",Boeing Co,"$30,000",/Users/enickles/Desktop/thumbsbw/Newhouse_Dan.jpg
Republican,Representative,South Dakota,Kristi L. Noem,Ways and Means ,7,"$42,004",-$941,Retired,"$795,191",Sanford Health,"$86,262",/Users/enickles/Desktop/thumbsbw/Noem_Kristi_L.jpg
Democrat,Representative,Minnesota,Richard M. Nolan,"Agriculture  
Transportation and Infrastructure ",11,$0,"-$1,251,939",Leadership PACs,"$662,440",Heartland Realty Investors,"$67,300",/Users/enickles/Desktop/thumbsbw/Nolan_Richard_M.jpg
Democrat,Representative,New Jersey,Donald Norcross,"Armed Services  
Education and the Workforce 
Joint Select Committee on Solvency of Multiemployer Pension Plans",4,$0,$0,Lawyers/Law Firms,"$473,212","Conner, Strong & Buckelew","$64,150",/Users/enickles/Desktop/thumbsbw/Norcross_Donald.jpg
Republican,Representative,South Carolina,Ralph Norman,"Science, Space, and Technology  
Small Business ",1,"$12,332","$10,029",Leadership PACs,"$110,100",House Freedom Fund,"$44,900",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,California,Devin Nunes,"Permanent Select Committee on Intelligence, Chairman  
Ways and Means 
Joint Committee on Taxation",15,"$37,530","$23,030",Crop Production & Basic Processing,"$1,482,907",AT&T Inc,"$80,500",/Users/enickles/Desktop/thumbsbw/Nunes_Devin.jpg
Democrat,Representative,Arizona,Tom O'Halleran,"Agriculture  
Armed Services ",1,$0,"-$16,482",Leadership PACs,"$127,450",New Democrat Coalition,"$14,500",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Texas,Beto O'Rourke,"Armed Services  
Veterans' Affairs ",5,$0,$0,Retired,"$355,212",Hunt Companies,"$80,032",/Users/enickles/Desktop/thumbsbw/O'Rourke_Beto.jpg
Republican,Representative,Texas,Pete Olson,Energy and Commerce ,9,"$41,700","$15,303",Oil & Gas,"$1,022,800",Koch Industries,"$65,800",/Users/enickles/Desktop/thumbsbw/Olson_Pete.jpg
Republican,Representative,Mississippi,Steven M. Palazzo,Appropriations ,7,"$21,801","$5,049",Accountants,"$256,348",Huntington Ingalls Industries,"$47,500",/Users/enickles/Desktop/thumbsbw/Palazzo_Steven_M.jpg
Democrat,Representative,New Jersey,Frank Pallone Jr.,Energy and Commerce ,31,$0,"-$1,793",Health Professionals,"$3,448,916",American Assn for Justice,"$145,000",/Users/enickles/Desktop/thumbsbw/Pallone_Frank.jpg
Republican,Representative,Alabama,Gary J. Palmer,"Budget  
Oversight and Government Reform ",3,"$19,450","$5,000",Retired,"$423,602",Club for Growth,"$71,854",/Users/enickles/Desktop/thumbsbw/Palmer_Gary_J.jpg
Democrat,Representative,California,Jimmy Panetta,"Agriculture  
Armed Services ",1,$0,$0,Crop Production & Basic Processing,"$58,627",No Labels,"$10,000",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,New Jersey,Bill Pascrell Jr.,Ways and Means ,21,$0,$0,Lawyers/Law Firms,"$1,660,990",International Brotherhood of Electrical Workers,"$115,000",/Users/enickles/Desktop/thumbsbw/Pascrell_Bill.jpg
Republican,Senator,Kentucky,Rand Paul,"Foreign Relations
Health, Education, Labor, and Pensions
Homeland Security and Governmental Affairs 
Small Business and Entrepreneurship",7,"$254,245","$104,456",Retired,"$2,175,003",Club for Growth,"$185,315",/Users/enickles/Desktop/thumbsbw/Paul_Rand.jpg
Republican,Representative,Minnesota,Erik Paulsen,"Ways and Means 
Joint Economic Committee, Chairman",9,"$74,163","$31,613",Retired,"$1,281,705",Target Corp,"$150,128",/Users/enickles/Desktop/thumbsbw/Paulsen_Erik.jpg
Democrat,Representative,New Jersey,Donald M. Payne Jr.,"Homeland Security  
Transportation and Infrastructure ",6,$0,$0,Building Trade Unions,"$120,900",Public Service Enterprise Group,"$36,700",/Users/enickles/Desktop/thumbsbw/Payne_Donald_M.jpg
Republican,Representative,New Mexico,Stevan Pearce,"Financial Services  
Natural Resources ",13,"$207,200","$88,314",Oil & Gas,"$2,064,643",Club for Growth,"$347,867",/Users/enickles/Desktop/thumbsbw/Pearce_Stevan.jpg
Democrat,Representative,California,Nancy Pelosi,Democratic Leader ,31,$0,$0,Health Professionals,"$1,455,139",American Federation of State/Cnty/Munic Employees,"$143,660",/Users/enickles/Desktop/thumbsbw/Pelosi_Nancy.jpg
Republican,Senator,Georgia,David Perdue,"Agriculture, Nutrition, and Forestry
Budget 
Armed Services
Banking, Housing, and Urban Affairs
Joint Select Committee on Budget and Appropriations Process Reform",3,"$408,054","$1,985,773",Retired,"$1,759,952",Club for Growth,"$99,252",/Users/enickles/Desktop/thumbsbw/Perdue_David.jpg
Democrat,Representative,Colorado,Ed Perlmutter,"Financial Services  
Science, Space, and Technology ",11,$0,"-$64,411",Lawyers/Law Firms,"$1,555,261",Democratic Congressional Campaign Cmte,"$170,979",/Users/enickles/Desktop/thumbsbw/Perlmutter_Ed.jpg
Republican,Representative,Pennsylvania,Scott Perry,"Foreign Affairs  
Homeland Security  
Transportation and Infrastructure ",5,"$13,250","$8,500",Leadership PACs,"$110,000",National Auto Dealers Assn,"$35,000",/Users/enickles/Desktop/thumbsbw/Perry_Scott.jpg
Democrat,Senator,Michigan,Gary C. Peters,"Armed Services
Commerce, Science, and Transportation
Homeland Security and Governmental Affairs 
Joint Economic Committee",3,$0,"-$48,855",Lawyers/Law Firms,"$2,032,598",League of Conservation Voters,"$379,037",/Users/enickles/Desktop/thumbsbw/Peters_Gary_C.jpg
Democrat,Representative,California,Scott H. Peters,"Energy and Commerce  
Veterans' Affairs ",5,$0,"-$7,846",Lawyers/Law Firms,"$649,698",Qualcomm Inc,"$96,135",/Users/enickles/Desktop/thumbsbw/Peters_Scott_H.jpg
Democrat,Representative,Minnesota,Collin C. Peterson,Agriculture ,27,"$120,509","$46,759",Crop Production & Basic Processing,"$1,602,290",American Institute of CPAs,"$141,996",/Users/enickles/Desktop/thumbsbw/Peterson_Collin_C.jpg
Democrat,Representative,Maine,Chellie Pingree,Appropriations ,9,$0,"-$4,646",Retired,"$842,001",Paloma Partners,"$220,200",/Users/enickles/Desktop/thumbsbw/Pingree_Chellie.jpg
Republican,Representative,North Carolina,Robert Pittenger,Financial Services ,5,"$24,341","$12,712",Retired,"$397,850",Massachusetts Mutual Life Insurance,"$57,950",/Users/enickles/Desktop/thumbsbw/Pittenger_Robert.jpg
Democrat,Representative,Wisconsin,Mark Pocan,Appropriations ,5,$0,$0,Building Trade Unions,"$257,125",University of Wisconsin,"$45,582",/Users/enickles/Desktop/thumbsbw/Pocan_Mark.jpg
Republican,Representative,Texas,Ted Poe,"Foreign Affairs  
Judiciary ",13,"$36,041","$15,436",Lawyers/Law Firms,"$496,232",Credit Union National Assn,"$62,500",/Users/enickles/Desktop/thumbsbw/Poe_Ted.jpg
Republican,Representative,Maine,Bruce Poliquin,"Financial Services  
Veterans' Affairs ",3,"$165,536","$203,398",Retired,"$792,075",Zweig-Dimenna Assoc,"$47,150",/Users/enickles/Desktop/thumbsbw/Poliquin_Bruce.jpg
Democrat,Representative,Colorado,Jared Polis,"Education and the Workforce  
Ethics  
Rules ",9,$0,$0,Securities & Investment,"$633,567",Foundry Group,"$73,250",/Users/enickles/Desktop/thumbsbw/Polis_Jared.jpg
Republican,Senator,Ohio,Rob Portman,"Energy and Natural Resources
Finance 
Foreign Relations
Homeland Security and Governmental Affairs 
Joint Economic Committee 
Joint Select Committee on Solvency of Multiemployer Pension Plans",7,"$1,565,416","$3,061,941",Retired,"$4,066,850",American Financial Group,"$296,232",/Users/enickles/Desktop/thumbsbw/Portman_Rob.jpg
Republican,Representative,Florida,Bill Posey,"Financial Services  
Science, Space, and Technology ",9,"$19,236","$15,936",Health Professionals,"$492,950",Harris Corp,"$133,875",/Users/enickles/Desktop/thumbsbw/Posey_Bill.jpg
Democrat,Representative,North Carolina,David E. Price,Appropriations ,29,$0,$0,Retired,"$720,205",Duke University,"$288,871",/Users/enickles/Desktop/thumbsbw/Price_David_E.jpg
Democrat,Representative,Illinois,Mike Quigley,"Appropriations  
Permanent Select Committee on Intelligence ",9,$0,-$20,Lawyers/Law Firms,"$608,024",Clifford Law Offices,"$45,200",/Users/enickles/Desktop/thumbsbw/Quigley_Mike.jpg
Democrat,Representative,Maryland,Jamie Raskin,"Joint Committee on Printing (House Administration) 
Judiciary  
Oversight and Government Reform ",1,$0,$0,Lawyers/Law Firms,"$82,004",American University,"$10,735",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Texas,John Ratcliffe,"Ethics  
Homeland Security  
Judiciary ",3,"$6,500","$4,500",Republican/Conservative,"$177,861",Club for Growth,"$111,105",/Users/enickles/Desktop/thumbsbw/Ratcliffe_John.jpg
Democrat,Senator,Rhode Island,Jack Reed,"Appropriations 
Armed Services
Banking, Housing, and Urban Affairs
Select Committee on Intelligence",21,$0,$0,Lawyers/Law Firms,"$1,633,013",General Dynamics,"$109,000",/Users/enickles/Desktop/thumbsbw/Reed_Jack.jpg
Republican,Representative,New York,Tom Reed,Ways and Means ,8,"$43,787","$22,162",Securities & Investment,"$748,834",Corning Inc,"$235,035",/Users/enickles/Desktop/thumbsbw/Reed_Tom.jpg
Republican,Representative,Washington,David G. Reichert,Ways and Means ,13,"$35,636","$21,778",Retired,"$1,234,146",Microsoft Corp,"$250,842",/Users/enickles/Desktop/thumbsbw/Reichert_David_G.jpg
Republican,Representative,Ohio,James B. Renacci,"Budget  
Ways and Means ",7,"$56,622","$46,347",Insurance,"$539,135",Timken Co,"$161,800",/Users/enickles/Desktop/thumbsbw/Renacci_James_B.jpg
Democrat,Representative,New York,Kathleen M. Rice,"Homeland Security  
Veterans' Affairs ",3,$0,$0,Securities & Investment,"$616,460",M&R Management,"$51,590",/Users/enickles/Desktop/thumbsbw/Rice_Kathleen_M.jpg
Republican,Representative,South Carolina,Tom Rice,Ways and Means ,5,"$16,500","$6,000",Real Estate,"$318,786",Scana Corp,"$69,750",/Users/enickles/Desktop/thumbsbw/Rice_Tom.jpg
Democrat,Representative,Louisiana,Cedric L. Richmond,"Homeland Security  
Judiciary ",7,$0,$0,Lawyers/Law Firms,"$718,463",Entergy Corp,"$43,250",/Users/enickles/Desktop/thumbsbw/Richmond_Cedric_L.jpg
Republican,Senator,Idaho,James E. Risch,"Energy and Natural Resources
Foreign Relations
Small Business and Entrepreneurship
Select Committee on Ethics 
Select Committee on Intelligence 
United States Senate Caucus on International Narcotics Control",9,"$46,200","$18,850",Leadership PACs,"$366,309",Senate Victory Fund,"$30,000",/Users/enickles/Desktop/thumbsbw/Risch_James_E.jpg
Republican,Senator,Kansas,Pat Roberts,"Agriculture, Nutrition, and Forestry
Finance 
Health, Education, Labor, and Pensions
Rules and Administration 
Joint Committee on Printing 
Joint Committee on the Library 
Select Committee on Ethics",21,"$753,534","$1,584,153",Agricultural Services/Products,"$1,016,201",Koch Industries,"$186,850",/Users/enickles/Desktop/thumbsbw/Roberts_Pat.jpg
Republican,Representative,Alabama,Martha Roby,"Appropriations  
Judiciary ",7,"$14,048","$6,000",Leadership PACs,"$521,065",Aronov Realty Management,"$41,500",/Users/enickles/Desktop/thumbsbw/Roby_Martha.jpg
Democrat,Representative,Delaware,Lisa Blunt Rochester,"Agriculture  
Education and the Workforce ",1,$0,$0,Insurance,"$33,075",DowDuPont,"$11,400",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Washington,Cathy McMorris Rodgers,Energy and Commerce ,13,"$63,441","$26,766",Health Professionals,"$880,954",Nelson Irrigation,"$113,369",/Users/enickles/Desktop/thumbsbw/McMorris_Rodgers_Cathy.jpg
Republican,Representative,Tennessee,David P. Roe,"Veterans' Affairs, Chairman  
Education and the Workforce 
Joint Select Committee on Solvency of Multiemployer Pension Plans",9,$0,$0,Health Professionals,"$496,933",Powell Construction,"$153,200",/Users/enickles/Desktop/thumbsbw/Roe_David_P.jpg
Republican,Representative,Kentucky,Harold Rogers,Appropriations ,37,"$73,329","$60,429",Air Transport,"$522,224",National Rural Electric Cooperative Assn,"$97,000",/Users/enickles/Desktop/thumbsbw/Rogers_Harold.jpg
Republican,Representative,Alabama,Mike D. Rogers,"Agriculture  
Armed Services  
Homeland Security ",15,"$46,079","$30,831",Health Professionals,"$737,346",Southern Co,"$215,118",/Users/enickles/Desktop/thumbsbw/Rogers_Mike_D.jpg
Republican,Representative,California,Dana Rohrabacher,"Foreign Affairs  
Science, Space, and Technology ",29,"$43,017","$34,817",Real Estate,"$620,814",Airtech Advanced Materials Group,"$87,050",/Users/enickles/Desktop/thumbsbw/Rohrabacher_Dana.jpg
Republican,Representative,Indiana,Todd Rokita,"Budget  
Education and the Workforce  
Transportation and Infrastructure ",7,"$13,250","$7,000",Lawyers/Law Firms,"$417,722",Kirkland & Ellis,"$75,590",/Users/enickles/Desktop/thumbsbw/Rokita_Todd.jpg
Republican,Representative,Florida,Francis Rooney,"Education and the Workforce  
Foreign Affairs 
Joint Economic Committee",1,"$1,000",$0,Leadership PACs,"$72,998",Rooney Holdings,"$31,600",/Users/enickles/Desktop/thumbsbw/Rooney_Thomas_J.jpg
Republican,Representative,Florida,Thomas J. Rooney,"Appropriations  
Permanent Select Committee on Intelligence ",9,"$29,232","$10,500",Real Estate,"$296,296",NextEra Energy,"$80,300",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Florida,Ileana Ros-Lehtinen,"Foreign Affairs  
Permanent Select Committee on Intelligence ",29,"$2,000","$2,000",Pro-Israel,"$1,068,284",Southern Glazer's Wine & Spirits,"$79,203",/Users/enickles/Desktop/thumbsbw/Ros-Lehtinen_Ileana.jpg
Democrat,Representative,Nevada,Jacky Rosen,"Armed Services  
Science, Space, and Technology ",1,$0,"-$21,079",Leadership PACs,"$195,750",EMILY's List,"$56,212",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Illinois,Peter J. Roskam,Ways and Means ,11,"$64,795","$32,216",Securities & Investment,"$1,438,702",Exelon Corp,"$146,050",/Users/enickles/Desktop/thumbsbw/Roskam_Peter_J.jpg
Republican,Representative,Florida,Dennis A. Ross,"Financial Services  
Oversight and Government Reform ",7,"$53,045","$19,375",Insurance,"$623,337",Publix Super Markets,"$123,250",/Users/enickles/Desktop/thumbsbw/Ross_Dennis_A.jpg
Republican,Representative,Pennsylvania,Keith J. Rothfus,Financial Services ,5,"$14,400","-$5,869",Retired,"$546,981",Club for Growth,"$183,428",/Users/enickles/Desktop/thumbsbw/Rothfus_Keith_J.jpg
Republican,Senator,South Dakota,Mike Rounds,"Armed Services
Banking, Housing, and Urban Affairs
Environment and Public Works 
Small Business and Entrepreneurship
Veterans' Affairs",3,"$101,083","$93,049",Securities & Investment,"$353,458",Citigroup Inc,"$43,200",/Users/enickles/Desktop/thumbsbw/Rounds_Mike_.jpg
Republican,Representative,North Carolina,David Rouzer,"Agriculture  
Transportation and Infrastructure ",3,"$16,059","$2,427",Crop Production & Basic Processing,"$728,526",Prestage Farms,"$54,050",/Users/enickles/Desktop/thumbsbw/Rouzer_David.jpg
Democrat,Representative,California,Lucille Roybal-Allard,"Appropriations 
Joint Select Committee on Budget and Appropriations Process Reform",25,$0,$0,Real Estate,"$490,236",National Assn of Realtors,"$103,000",/Users/enickles/Desktop/thumbsbw/Roybal-Allard_Lucille.jpg
Republican,Representative,California,Edward R. Royce,"Foreign Affairs, Chairman  
Financial Services ",25,"$109,200","$38,800",Real Estate,"$1,728,756",NorPAC,"$135,387",/Users/enickles/Desktop/thumbsbw/Royce_Edward_R.jpg
Republican,Senator,Florida,Marco Rubio,"Commission on Security and Cooperation in Europe 
Appropriations 
Foreign Relations
Small Business and Entrepreneurship
Select Committee on Intelligence 
Special Committee on Aging",7,"$1,166,224","$3,303,355",Retired,"$13,232,895",Club for Growth,"$690,606",/Users/enickles/Desktop/thumbsbw/Rubio_Marco.jpg
Democrat,Representative,California,Raul Ruiz,Energy and Commerce ,5,$0,"-$4,320",Health Professionals,"$1,198,763",Emergency Medicine Physicians,"$57,058",/Users/enickles/Desktop/thumbsbw/Ruiz_Raul.jpg
Democrat,Representative,Maryland,C. A. Dutch Ruppersberger,Appropriations ,15,$0,-$259,Real Estate,"$595,728",Northrop Grumman,"$188,610",/Users/enickles/Desktop/thumbsbw/Ruppersberger_C._A._Dutch.jpg
Democrat,Representative,Illinois,Bobby L. Rush,Energy and Commerce ,25,$0,$0,Electric Utilities,"$384,973",Exelon Corp,"$136,500",/Users/enickles/Desktop/thumbsbw/Rush_Bobby_L.jpg
Republican,Representative,Oklahoma,Steve Russell,"Armed Services  
Oversight and Government Reform ",3,"$21,430","$4,000",Leadership PACs,"$217,300",Devon Energy,"$35,650",/Users/enickles/Desktop/thumbsbw/Russell_Steve.jpg
Republican,Representative,Florida,John H. Rutherford,"Homeland Security  
Judiciary  
Veterans' Affairs ",1,"$3,200","$1,000",Real Estate,"$24,600",JB Coxwell Contracting,"$10,800",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Wisconsin,Paul D. Ryan,The Speaker ,19,"$357,990","$61,401",Retired,"$8,116,479",Northwestern Mutual,"$271,725",/Users/enickles/Desktop/thumbsbw/Ryan_Paul_D.jpg
Democrat,Representative,Ohio,Tim Ryan,Appropriations ,15,"$29,001","$24,805",Lawyers/Law Firms,"$517,754",Machinists/Aerospace Workers Union,"$90,500",/Users/enickles/Desktop/thumbsbw/Ryan_Tim.jpg
Democrat,Representative,California,Linda T. Sanchez,Ways and Means ,15,$0,$0,Lawyers/Law Firms,"$472,273",International Brotherhood of Electrical Workers,"$91,815",/Users/enickles/Desktop/thumbsbw/Sanchez_Linda_T.jpg
Independent,Senator,Vermont,Bernard Sanders,"Budget
Energy and Natural Resources
Environment and Public Works 
Health, Education, Labor, and Pensions
Veterans' Affairs",11,$0,$0,Democratic/Liberal,"$17,902,180",Alphabet Inc,"$366,168",/Users/enickles/Desktop/thumbsbw/Sanders_Bernard.jpg
Republican,Representative,South Carolina,Mark Sanford,"Budget  
Oversight and Government Reform  
Transportation and Infrastructure ",11,"$25,150","$12,290",Real Estate,"$375,999",Lazard Freres & Co,"$38,700",/Users/enickles/Desktop/thumbsbw/Sanford_Mark.jpg
Democrat,Representative,Maryland,John P. Sarbanes,Energy and Commerce ,11,$0,$0,Lawyers/Law Firms,"$1,064,867",Venable LLP,"$294,003",/Users/enickles/Desktop/thumbsbw/Sarbanes_John_P.jpg
Republican,Senator,Nebraska,Ben Sasse,"Armed Services
Banking, Housing, and Urban Affairs
Judiciary 
Joint Economic Committee",3,"$92,548","$68,623",Republican/Conservative,"$703,702",Club for Growth,"$294,987",/Users/enickles/Desktop/thumbsbw/Sasse_Ben_.jpg
Republican,Representative,Louisiana,Steve Scalise,"Majority Whip 
Energy and Commerce ",10,"$72,577","$31,300",Oil & Gas,"$1,034,059",Votesane PAC,"$254,696",/Users/enickles/Desktop/thumbsbw/Scalise_Steve.jpg
Democrat,Representative,Illinois,Janice D. Schakowsky,"Budget  
Energy and Commerce ",19,$0,$0,Lawyers/Law Firms,"$1,575,446",State of Illinois,"$123,020",/Users/enickles/Desktop/thumbsbw/Schakowsky_Janice_D.jpg
Democrat,Senator,Hawaii,Brian Schatz,"Appropriations 
Banking, Housing, and Urban Affairs
Commerce, Science, and Transportation
Indian Affairs
Joint Select Committee on Budget and Appropriations Process Reform 
Select Committee on Ethics",6,$0,-$286,Lawyers/Law Firms,"$1,101,022",League of Conservation Voters,"$193,797",/Users/enickles/Desktop/thumbsbw/Schatz_Brian.jpg
Democrat,Representative,California,Adam B. Schiff,Permanent Select Committee on Intelligence ,17,$0,$0,Lawyers/Law Firms,"$1,728,291",Walt Disney Co,"$106,430",/Users/enickles/Desktop/thumbsbw/Schiff_Adam_B.jpg
Democrat,Representative,Illinois,Bradley Scott Schneider,"Foreign Affairs  
Judiciary  
Small Business ",3,$0,-$20,Democratic/Liberal,"$211,180",Discover Financial Services,"$18,918",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Oregon,Kurt Schrader,Energy and Commerce ,9,"$12,387","$9,887",Health Professionals,"$596,120",Blue Cross/Blue Shield,"$97,050",/Users/enickles/Desktop/thumbsbw/Schrader_Kurt.jpg
Democrat,Representative,Florida,Debbie Wasserman Schultz,"Appropriations  
Budget ",13,$0,$0,Lawyers/Law Firms,"$1,553,701",Southern Glazer's Wine & Spirits,"$92,075",/Users/enickles/Desktop/thumbsbw/Wasserman_Schultz_Debbie.jpg
Democrat,Senator,New York,Charles E. Schumer,"Rules and Administration 
Select Committee on Intelligence",19,$0,"-$15,184",Securities & Investment,"$12,889,763",Goldman Sachs,"$581,890",/Users/enickles/Desktop/thumbsbw/Schumer_Charles_E.jpg
Republican,Representative,Arizona,David Schweikert,"Ways and Means 
Joint Economic Committee
Joint Select Committee on Solvency of Multiemployer Pension Plans",7,"$102,396","$77,687",Retired,"$563,598",Services Group Of America,"$57,850",/Users/enickles/Desktop/thumbsbw/Schweikert_David.jpg
Republican,Representative,Georgia,Austin Scott,"Agriculture  
Armed Services ",7,"$26,586","$6,868",Health Professionals,"$341,733",Northrop Grumman,"$40,751",/Users/enickles/Desktop/thumbsbw/Scott_Austin.jpg
Democrat,Representative,Virginia,"Robert C. ""Bobby"" Scott","Education and the Workforce 
Joint Select Committee on Solvency of Multiemployer Pension Plans",25,$0,$0,Public Sector Unions,"$459,350",American Assn for Justice,"$124,000",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Georgia,David Scott,"Agriculture  
Financial Services ",15,$0,$0,Health Professionals,"$908,278",ICE Group,"$94,100",/Users/enickles/Desktop/thumbsbw/Scott_David.jpg
Republican,Senator,South Carolina,Tim Scott,"Armed Services
Banking, Housing, and Urban Affairs
Finance 
Health, Education, Labor, and Pensions
Small Business and Entrepreneurship
Special Committee on Aging",5,"$38,463","$18,513",Securities & Investment,"$1,179,575",Club for Growth,"$119,225",/Users/enickles/Desktop/thumbsbw/Scott_Tim.jpg
Republican,Representative,Wisconsin,F. James Sensenbrenner Jr.,"Foreign Affairs  
Judiciary ",39,"$30,218","$20,468",Insurance,"$310,065",NCTA The Internet & Television Assn,"$84,994",/Users/enickles/Desktop/thumbsbw/Sensenbrenner_F._James.jpg
Democrat,Representative,New York,Jose E. Serrano,Appropriations ,29,$0,$0,Public Sector Unions,"$492,900",National Assn of Realtors,"$96,000",/Users/enickles/Desktop/thumbsbw/Serrano_Jose_E.jpg
Republican,Representative,Texas,Pete Sessions,"Rules, Chairman 
Joint Select Committee on Budget and Appropriations Process Reform",21,"$163,887","$158,111",Health Professionals,"$1,864,812",AT&T Inc,"$200,940",/Users/enickles/Desktop/thumbsbw/Sessions_Pete.jpg
Democrat,Representative,Alabama,Terri A. Sewell,"Ways and Means  
Permanent Select Committee on Intelligence ",7,$0,$0,Lawyers/Law Firms,"$831,518","Maynard, Cooper & Gale","$180,677",/Users/enickles/Desktop/thumbsbw/Sewell_Terri_A.jpg
Democrat,Senator,New Hampshire,Jeanne Shaheen,"Commission on Security and Cooperation in Europe 
Appropriations 
Armed Services
Foreign Relations
Small Business and Entrepreneurship
Select Committee on Ethics",9,$0,"-$407,942",Women's Issues,"$2,441,689",EMILY's List,"$1,226,536",/Users/enickles/Desktop/thumbsbw/Shaheen_Jeanne.jpg
Democrat,Representative,New Hampshire,Carol Shea-Porter,"Armed Services  
Education and the Workforce ",7,$0,"-$205,951",Leadership PACs,"$44,500",EMILY's List,"$20,700",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Senator,Alabama,Richard C. Shelby,"Appropriations 
Banking, Housing, and Urban Affairs
Environment and Public Works 
Rules and Administration 
Joint Committee on Printing 
Joint Committee on the Library",31,"$279,664","$259,464",Lawyers/Law Firms,"$2,776,402",Southern Co,"$184,341",/Users/enickles/Desktop/thumbsbw/Shelby_Richard_C.jpg
Democrat,Representative,California,Brad Sherman,"Financial Services  
Foreign Affairs ",21,$0,$0,Real Estate,"$1,114,273",Machinists/Aerospace Workers Union,"$116,000",/Users/enickles/Desktop/thumbsbw/Sherman_Brad.jpg
