Party	Title	State	Full Name	Committees	Committee 1	Committee 2	Committee 3	Committee 4	Committee 5	Committee 6	Committee 7	Years in Current Chamber	NRA Rank	NRA Grand Total	Top Industry	Total Industry Amount	Top Contributor	Total Contributor Amount	@Photo
Republican	Representative	New Jersey	Frank A. LoBiondo	Armed Services   Transportation and Infrastructure   Permanent Select Committee on Intelligence 	Armed Services  	Transportation and Infrastructure  	Permanent Select Committee on Intelligence 					23	282	$1,536	Transportation Unions	$979,811	Carpenters & Joiners Union	$110,999	Macintosh HD:Users:enickles:Desktop:thumbsbw:LoBiondo_Frank_A.jpg
Republican	Representative	Michigan	Justin Amash	Oversight and Government Reform 	Oversight and Government Reform 							7	283	$1,000	Republican/Conservative	$404,781	Club for Growth	$275,580	Macintosh HD:Users:enickles:Desktop:thumbsbw:Amash_Justin.jpg
Republican	Representative	Wyoming	Liz Cheney	Armed Services   Natural Resources   Rules 	Armed Services  	Natural Resources  	Rules 					1	283	$1,000	Retired	$36,250	Honeywell International	$10,999	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Utah	John R. Curtis	Foreign Affairs   Natural Resources   Small Business 	Foreign Affairs  	Natural Resources  	Small Business 					1	283	$1,000	Leadership PACs	$68,000	Zions Bancorp	$16,100	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Florida	Matt Gaetz	Armed Services   Budget   Judiciary 	Armed Services  	Budget  	Judiciary 					1	283	$1,000	Defense Electronics	$33,499	Southern Co	$14,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	New Jersey	Leonard Lance	Energy and Commerce   Ethics 	Energy and Commerce  	Ethics 						9	283	$1,000	Pharmaceuticals/Health Products	$771,600	Celgene Corp	$88,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lance_Leonard.jpg
Republican	Representative	Florida	John H. Rutherford	Homeland Security   Judiciary   Veterans' Affairs 	Homeland Security  	Judiciary  	Veterans' Affairs 					1	283	$1,000	Real Estate	$24,600	JB Coxwell Contracting	$10,800	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	Vermont	Peter Welch	Energy and Commerce   Oversight and Government Reform 	Energy and Commerce  	Oversight and Government Reform 						11	283	$1,000	Lawyers/Law Firms	$394,491	Operating Engineers Union	$62,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:Welch_Peter.jpg
Democratic	Representative	Massachusetts	Stephen F. Lynch	Financial Services   Oversight and Government Reform 	Financial Services  	Oversight and Government Reform 						17	290	$555	Real Estate	$962,162	Ironworkers Union	$103,700	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lynch_Stephen_F.jpg
Republican	Representative	Georgia	Rick W. Allen	Agriculture   Education and the Workforce 	Agriculture  	Education and the Workforce 						3	291	$247	Retired	$294,650	RW Allen LLC	$51,050	Macintosh HD:Users:enickles:Desktop:thumbsbw:Allen_Rick_W.jpg
Democratic	Representative	Tennessee	Jim Cooper	Armed Services   Oversight and Government Reform 	Armed Services  	Oversight and Government Reform 						27	292	$201	Lawyers/Law Firms	$1,084,403	Vanderbilt University	$129,811	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cooper_Jim.jpg
Democratic	Representative	North Carolina	Alma S. Adams	Agriculture   Education and the Workforce   Small Business  Joint Economic Committee	Agriculture  	Education and the Workforce  	Small Business 	Joint Economic Committee				4	293	$0	Health Professionals	$125,000	EMILY's List	$62,819	Macintosh HD:Users:enickles:Desktop:thumbsbw:Adams_Alma_S.jpg
Democratic	Representative	California	Nanette Diaz Barragan	Homeland Security   Natural Resources 	Homeland Security  	Natural Resources 						1	293	$0	Lawyers/Law Firms	$132,579	International Brotherhood of Electrical Workers	$15,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	California	Karen Bass	Foreign Affairs   Judiciary 	Foreign Affairs  	Judiciary 						7	293	$0	TV/Movies/Music	$350,742	Sony Corp	$51,447	Macintosh HD:Users:enickles:Desktop:thumbsbw:Bass_Karen.jpg
Democratic	Representative	Ohio	Joyce Beatty	Financial Services 	Financial Services 							5	293	$0	Insurance	$410,508	Nationwide	$113,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Beatty_Joyce.jpg
Democratic	Representative	Virginia	Donald S. Beyer Jr.	Natural Resources   Science, Space, and Technology  Joint Economic Committee	Natural Resources  	Science, Space, and Technology 	Joint Economic Committee					3	293	$0	Lawyers/Law Firms	$492,199	Akin, Gump et al	$52,893	Macintosh HD:Users:enickles:Desktop:thumbsbw:Beyer_Donald_S.jpg
Democratic	Representative	Oregon	Earl Blumenauer	Ways and Means 	Ways and Means 							23	293	$0	Construction Services	$609,745	Nike Inc	$113,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Blumenauer_Earl.jpg
Democratic	Representative	Pennsylvania	Brendan F. Boyle	Budget   Foreign Affairs 	Budget  	Foreign Affairs 						3	293	$0	Lawyers/Law Firms	$225,717	International Brotherhood of Electrical Workers	$31,375	Macintosh HD:Users:enickles:Desktop:thumbsbw:Boyle_Brendan_F.jpg
Democratic	Representative	Pennsylvania	Robert A. Brady	Armed Services   Joint Comittee on Printing (House Administration), Ranking Member Joint Comittee on the Library (House Administration)	Armed Services  	Joint Comittee on Printing (House Administration), Ranking Member	Joint Comittee on the Library (House Administration)					21	293	$0	Lawyers/Law Firms	$848,331	Comcast Corp	$153,950	Macintosh HD:Users:enickles:Desktop:thumbsbw:Brady_Robert_A.jpg
Democratic	Representative	Maryland	Sherrod Brown	Armed Services   Ethics   Natural Resources 	Armed Services  	Ethics  	Natural Resources 					11	293	$0	Defense Aerospace	$38,000	Orbital ATK	$10,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Brown_Sherrod.jpg
Democratic	Representative	North Carolina	G. K. Butterfield	Energy and Commerce 	Energy and Commerce 							14	293	$0	Pharmaceuticals/Health Products	$394,195	AT&T Inc	$63,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Butterfield_G._K.jpg
Democratic	Representative	Massachusetts	Michael E. Capuano	Financial Services   Transportation and Infrastructure 	Financial Services  	Transportation and Infrastructure 						19	293	$0	Real Estate	$867,759	American Assn for Justice	$89,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Capuano_Michael_E.jpg
Democratic	Representative	California	Tony Cardenas	Energy and Commerce 	Energy and Commerce 							5	293	$0	Pharmaceuticals/Health Products	$269,396	ActBlue	$57,434	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cardenas_Tony.jpg
Democratic	Senator	Delaware	Thomas R. Carper	Environment and Public Works  Finance  Homeland Security and Governmental Affairs	Environment and Public Works 	Finance 	Homeland Security and Governmental Affairs					17	293	$0	Lawyers/Law Firms	$1,081,958	DowDuPont	$135,828	Macintosh HD:Users:enickles:Desktop:thumbsbw:Carper_Thomas_R.jpg
Democratic	Representative	Indiana	Andre Carson	Transportation and Infrastructure   Permanent Select Committee on Intelligence 	Transportation and Infrastructure  	Permanent Select Committee on Intelligence 						10	293	$0	Lawyers/Law Firms	$473,173	Ice Miller LLP	$101,470	Macintosh HD:Users:enickles:Desktop:thumbsbw:Carson_Andre.jpg
Democratic	Representative	Pennsylvania	Matt Cartwright	Appropriations   Oversight and Government Reform 	Appropriations  	Oversight and Government Reform 						5	293	$0	Lawyers/Law Firms	$1,411,906	American Assn for Justice	$41,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cartwright_Matt.jpg
Democratic	Representative	Florida	Kathy Castor	Energy and Commerce 	Energy and Commerce 							11	293	$0	Lawyers/Law Firms	$573,463	EMILY's List	$66,375	Macintosh HD:Users:enickles:Desktop:thumbsbw:Castor_Kathy.jpg
Democratic	Representative	Texas	Joaquin Castro	Foreign Affairs   Permanent Select Committee on Intelligence 	Foreign Affairs  	Permanent Select Committee on Intelligence 						5	293	$0	Lawyers/Law Firms	$467,828	Laborers Union/Midwest Region	$35,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Castro_Joaquin.jpg
Democratic	Representative	California	Judy Chu	Small Business   Ways and Means 	Small Business  	Ways and Means 						9	293	$0	Health Professionals	$367,054	Service Employees International Union	$57,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Chu_Judy.jpg
Democratic	Representative	Massachusetts	Katherine M. Clark	Appropriations 	Appropriations 							5	293	$0	Lawyers/Law Firms	$371,647	JStreetPAC	$39,266	Macintosh HD:Users:enickles:Desktop:thumbsbw:Clark_Katherine_M.jpg
Democratic	Representative	New York	Yvette D. Clarke	Energy and Commerce   Ethics   Small Business 	Energy and Commerce  	Ethics  	Small Business 					11	293	$0	Building Trade Unions	$242,450	New York Life Insurance	$54,925	Macintosh HD:Users:enickles:Desktop:thumbsbw:Clarke_Yvette_D.jpg
Democratic	Representative	Missouri	Wm. Lacy Clay	Financial Services   Natural Resources   Oversight and Government Reform 	Financial Services  	Natural Resources  	Oversight and Government Reform 					17	293	$0	Public Sector Unions	$363,000	Anheuser-Busch InBev	$97,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Clay_Wm._Lacy.jpg
Democratic	Representative	Tennessee	Steve Cohen	Ethics   Judiciary   Transportation and Infrastructure 	Ethics  	Judiciary  	Transportation and Infrastructure 					11	293	$0	Lawyers/Law Firms	$396,541	FedEx Corp	$78,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cohen_Steve.jpg
Democratic	Representative	New Jersey	Bonnie Watson Coleman	Homeland Security   Oversight and Government Reform 	Homeland Security  	Oversight and Government Reform 						3	293	$0	Lawyers/Law Firms	$199,527	Ross Feller Casey LLP	$37,200	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	California	J. Luis Correa	Homeland Security   Veterans' Affairs 	Homeland Security  	Veterans' Affairs 						1	293	$0	Real Estate	$31,150	New Democrat Coalition	$13,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	New York	Joseph Crowley	Ways and Means 	Ways and Means 							19	293	$0	Securities & Investment	$1,912,907	Votesane PAC	$182,560	Macintosh HD:Users:enickles:Desktop:thumbsbw:Crowley_Joseph.jpg
Democratic	Representative	Maryland	Elijah E. Cummings	Oversight and Government Reform   Transportation and Infrastructure 	Oversight and Government Reform  	Transportation and Infrastructure 						23	293	$0	Transportation Unions	$695,500	United Auto Workers	$106,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cummings_Elijah_E.jpg
Democratic	Representative	Illinois	Danny K. Davis	Ways and Means 	Ways and Means 							21	293	$0	Public Sector Unions	$536,350	National Assn of Letter Carriers	$93,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Davis_Danny_K.jpg
Democratic	Representative	California	Susan A. Davis	Armed Services   Education and the Workforce 	Armed Services  	Education and the Workforce 						17	293	$0	Women's Issues	$430,720	Qualcomm Inc	$94,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:Davis_Susan_A.jpg
Democratic	Representative	Oregon	Peter A. DeFazio	Transportation and Infrastructure 	Transportation and Infrastructure 							31	293	$0	Transportation Unions	$925,888	Air Line Pilots Assn	$150,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:DeFazio_Peter_A.jpg
Democratic	Representative	Colorado	Diana DeGette	Energy and Commerce 	Energy and Commerce 							21	293	$0	Lawyers/Law Firms	$920,810	Democracy Engine	$305,263	Macintosh HD:Users:enickles:Desktop:thumbsbw:DeGette_Diana.jpg
Democratic	Representative	Connecticut	Rosa L. DeLauro	Appropriations 	Appropriations 							27	293	$0	Health Professionals	$951,178	Democracy Engine	$227,455	Macintosh HD:Users:enickles:Desktop:thumbsbw:DeLauro_Rosa_L.jpg
Democratic	Representative	California	Mark DeSaulnier	Education and the Workforce   Oversight and Government Reform   Transportation and Infrastructure 	Education and the Workforce  	Oversight and Government Reform  	Transportation and Infrastructure 					3	293	$0	Lawyers/Law Firms	$145,456	International Brotherhood of Electrical Workers	$35,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:DeSaulnier_Mark.jpg
Democratic	Representative	Florida	Theodore E. Deutch	Ethics   Foreign Affairs   Judiciary 	Ethics  	Foreign Affairs  	Judiciary 					8	293	$0	Lawyers/Law Firms	$685,472	Florida Crystals	$61,700	Macintosh HD:Users:enickles:Desktop:thumbsbw:Deutch_Theodore_E.jpg
Democratic	Representative	Michigan	Debbie Dingell	Energy and Commerce  Joint Select Committee on Solvency of Multiemployer Pension Plans	Energy and Commerce 	Joint Select Committee on Solvency of Multiemployer Pension Plans						3	293	$0	Lawyers/Law Firms	$197,454	Rock Holdings	$43,850	Macintosh HD:Users:enickles:Desktop:thumbsbw:Dingell_Debbie.jpg
Republican	Representative	New York	Daniel M. Donovan Jr.	Foreign Affairs   Homeland Security 	Foreign Affairs  	Homeland Security 						3	293	$0	Leadership PACs	$232,700	Bram Corp	$60,400	Macintosh HD:Users:enickles:Desktop:thumbsbw:Donovan_Daniel_M.jpg
Democratic	Representative	Pennsylvania	Michael F. Doyle	Energy and Commerce 	Energy and Commerce 							23	293	$0	Electric Utilities	$610,427	Communications Workers of America	$121,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Doyle_Michael_F.jpg
Democratic	Representative	Minnesota	Keith Ellison	Financial Services 	Financial Services 							11	293	$0	Health Professionals	$968,062	Communications Workers of America	$62,555	Macintosh HD:Users:enickles:Desktop:thumbsbw:Ellison_Keith.jpg
Democratic	Representative	New York	Eliot L. Engel	Energy and Commerce   Foreign Affairs 	Energy and Commerce  	Foreign Affairs 						29	293	$0	Pro-Israel	$1,193,111	NorPAC	$326,784	Macintosh HD:Users:enickles:Desktop:thumbsbw:Engel_Eliot_L.jpg
Democratic	Representative	California	Anna G. Eshoo	Energy and Commerce 	Energy and Commerce 							25	293	$0	Pharmaceuticals/Health Products	$1,532,781	Cisco Systems	$140,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Eshoo_Anna_G.jpg
Democratic	Representative	New York	Adriano Espaillat	Education and the Workforce   Foreign Affairs   Small Business 	Education and the Workforce  	Foreign Affairs  	Small Business 					1	293	$0	Securities & Investment	$25,200	Henry Schein Inc	$14,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	Connecticut	Elizabeth H. Esty	Science, Space, and Technology   Transportation and Infrastructure   Veterans' Affairs 	Science, Space, and Technology  	Transportation and Infrastructure  	Veterans' Affairs 					5	293	$0	Lawyers/Law Firms	$759,833	Yale University	$88,246	Macintosh HD:Users:enickles:Desktop:thumbsbw:Esty_Elizabeth_H.jpg
Democratic	Representative	Pennsylvania	Dwight Evans	Agriculture   Small Business 	Agriculture  	Small Business 						2	293	$0	Lawyers/Law Firms	$40,410	Comcast Corp	$13,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Senator	California	Dianne Feinstein	Appropriations  Rules and Administration  Judiciary  Select Committee on Intelligence  United States Senate Caucus on International Narcotics Control	Appropriations 	Rules and Administration 	Judiciary 	Select Committee on Intelligence 	United States Senate Caucus on International Narcotics Control			26	293	$0	Lawyers/Law Firms	$3,916,059	PG&E Corp	$216,850	Macintosh HD:Users:enickles:Desktop:thumbsbw:Feinstein_Dianne.jpg
Republican	Representative	Pennsylvania	Brian K. Fitzpatrick	Foreign Affairs   Homeland Security   Small Business 	Foreign Affairs  	Homeland Security  	Small Business 					1	293	$0	Leadership PACs	$123,036	Wakefern Food	$15,800	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	New Jersey	Rodney P. Frelinghuysen	Appropriations, Chairman 	Appropriations, Chairman 							23	293	$0	Retired	$972,947	Lockheed Martin	$229,550	Macintosh HD:Users:enickles:Desktop:thumbsbw:Frelinghuysen_Rodney_P.jpg
Democratic	Representative	Ohio	Marcia L. Fudge	Agriculture   Education and the Workforce 	Agriculture  	Education and the Workforce 						10	293	$0	Public Sector Unions	$226,500	American Federation of Teachers	$50,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Fudge_Marcia_L.jpg
Democratic	Representative	Arizona	Ruben Gallego	Armed Services   Natural Resources 	Armed Services  	Natural Resources 						3	293	$0	Lawyers/Law Firms	$163,959	United Food & Commercial Workers Union	$30,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Gallego_Ruben.jpg
Democratic	Representative	California	Jimmy Gomez	Natural Resources   Oversight and Government Reform 	Natural Resources  	Oversight and Government Reform 						1	293	$0	Lawyers/Law Firms	$81,921	American Federation of State/Cnty/Munic Employees	$16,100	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	Texas	Vicente Gonzalez	Financial Services 	Financial Services 							1	293	$0	Lawyers/Law Firms	$60,550	International Brotherhood of Electrical Workers	$15,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	Texas	Al Green	Financial Services 	Financial Services 							13	293	$0	Lawyers/Law Firms	$483,593	National Assn of Realtors	$72,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Green_Al.jpg
Democratic	Representative	New Mexico	Michelle Lujan Grisham	Agriculture   Budget 	Agriculture  	Budget 						5	293	$0	Lawyers/Law Firms	$574,500	University of New Mexico	$57,080	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lujan_Grisham_Michelle.jpg
Democratic	Representative	Illinois	Luis V. Gutierrez	Judiciary 	Judiciary 							25	293	$0	Lawyers/Law Firms	$390,170	National Assn of Realtors	$95,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Gutierrez_Luis_V.jpg
Democratic	Senator	California	Kamala D. Harris	Budget  Homeland Security and Governmental Affairs  Judiciary  Select Committee on Intelligence	Budget 	Homeland Security and Governmental Affairs 	Judiciary 	Select Committee on Intelligence				1	293	$0	Lawyers/Law Firms	$2,408,276	Time Warner	$131,346	Macintosh HD:Users:enickles:Desktop:thumbsbw:Harris_Kamala_D.jpg
Democratic	Representative	Connecticut	James A. Himes	Financial Services   Permanent Select Committee on Intelligence 	Financial Services  	Permanent Select Committee on Intelligence 						9	293	$0	Securities & Investment	$2,787,522	Goldman Sachs	$331,123	Macintosh HD:Users:enickles:Desktop:thumbsbw:Himes_James_A.jpg
Democratic	Representative	Maryland	Steny H. Hoyer	Democratic Whip 	Democratic Whip 							37	293	$0	Health Professionals	$1,991,841	AT&T Inc	$153,900	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hoyer_Steny_H.jpg
Democratic	Representative	California	Jared Huffman	Natural Resources   Transportation and Infrastructure 	Natural Resources  	Transportation and Infrastructure 						5	293	$0	Retired	$381,563	Carpenters & Joiners Union	$35,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Huffman_Jared.jpg
Democratic	Representative	Texas	Sheila Jackson Lee	Budget   Homeland Security   Judiciary 	Budget  	Homeland Security  	Judiciary 					23	293	$0	Health Professionals	$575,966	Communications Workers of America	$114,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Jackson_Lee_Sheila.jpg
Democratic	Representative	Washington	Pramila Jayapal	Budget   Judiciary 	Budget  	Judiciary 						1	293	$0	Retired	$82,196	Sheet Metal Workers Union	$15,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	New York	Hakeem S. Jeffries	Budget   Judiciary 	Budget  	Judiciary 						5	293	$0	Lawyers/Law Firms	$641,130	Paul, Weiss et al	$132,550	Macintosh HD:Users:enickles:Desktop:thumbsbw:Jeffries_Hakeem_S.jpg
Democratic	Representative	Texas	Eddie Bernice Johnson	Science, Space, and Technology   Transportation and Infrastructure 	Science, Space, and Technology  	Transportation and Infrastructure 						25	293	$0	Lawyers/Law Firms	$496,106	American Assn for Justice	$105,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Johnson_Eddie_Bernice.jpg
Democratic	Representative	Ohio	Marcy Kaptur	Appropriations 	Appropriations 							35	293	$0	Industrial Unions	$702,570	Machinists/Aerospace Workers Union	$136,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Kaptur_Marcy.jpg
Democratic	Representative	Massachusetts	Joe III Kennedy	Energy and Commerce 	Energy and Commerce 							5	293	$0	Securities & Investment	$1,358,921	Harvard University	$94,319	Macintosh HD:Users:enickles:Desktop:thumbsbw:Kennedy_John.jpg
Democratic	Representative	California	Ro Khanna	Armed Services   Budget 	Armed Services  	Budget 						1	293	$0	Securities & Investment	$337,463	Alphabet Inc	$30,409	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	Michigan	Daniel T. Kildee	Financial Services 	Financial Services 							5	293	$0	Casinos/Gambling	$215,428	Quicken Loans	$39,550	Macintosh HD:Users:enickles:Desktop:thumbsbw:Kildee_Daniel_T.jpg
Democratic	Representative	Illinois	Raja Krishnamoorthi	Education and the Workforce   Oversight and Government Reform 	Education and the Workforce  	Oversight and Government Reform 						1	293	$0	Health Professionals	$330,583	Kirkland & Ellis	$69,200	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	Rhode Island	James R. Langevin	Armed Services   Homeland Security 	Armed Services  	Homeland Security 						17	293	$0	Lawyers/Law Firms	$708,499	General Dynamics	$177,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Langevin_James_R.jpg
Democratic	Representative	Connecticut	John B. Larson	Ways and Means 	Ways and Means 							19	293	$0	Insurance	$1,693,139	United Technologies	$347,600	Macintosh HD:Users:enickles:Desktop:thumbsbw:Larson_John_B.jpg
Democratic	Representative	Michigan	Brenda L. Lawrence	Oversight and Government Reform   Transportation and Infrastructure 	Oversight and Government Reform  	Transportation and Infrastructure 						3	293	$0	Real Estate	$127,700	EMILY's List	$40,564	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lawrence_Brenda_L.jpg
Democratic	Representative	California	Barbara Lee	Appropriations   Budget 	Appropriations  	Budget 						21	293	$0	Lawyers/Law Firms	$603,837	Teamsters Union	$90,050	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lee_Barbara.jpg
Democratic	Representative	Michigan	Sander M. Levin	Ways and Means 	Ways and Means 							35	293	$0	Lawyers/Law Firms	$1,191,656	General Motors	$134,200	Macintosh HD:Users:enickles:Desktop:thumbsbw:Levin_Sander_M.jpg
Democratic	Representative	Georgia	John Lewis	Ways and Means 	Ways and Means 							31	293	$0	Health Professionals	$834,954	AFLAC Inc	$122,503	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lewis_John.jpg
Democratic	Representative	California	Ted Lieu	Foreign Affairs   Judiciary 	Foreign Affairs  	Judiciary 						3	293	$0	Lawyers/Law Firms	$378,881	Munger, Tolles & Olson	$67,488	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lieu_Ted.jpg
Democratic	Representative	California	Zoe Lofgren	Joint Committee on Printing (House Administration) Joint Comittee on the Library (House Administration) Judiciary   Science, Space, and Technology 	Joint Committee on Printing (House Administration)	Joint Comittee on the Library (House Administration)	Judiciary  	Science, Space, and Technology 				23	293	$0	Electronics Mfg & Equip	$1,241,096	Fragomen, Del Rey et al	$146,906	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lofgren_Zoe.jpg
Democratic	Representative	New York	Nita M. Lowey	Appropriations  Joint Select Committee on Budget and Appropriations Process Reform, Co-Chair	Appropriations 	Joint Select Committee on Budget and Appropriations Process Reform, Co-Chair						29	293	$0	Securities & Investment	$2,392,816	Goldman Sachs	$180,390	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lowey_Nita_M.jpg
Democratic	Representative	New York	Carolyn B. Maloney	Financial Services   Oversight and Government Reform  Joint Economic Committee	Financial Services  	Oversight and Government Reform 	Joint Economic Committee					25	293	$0	Securities & Investment	$1,728,338	JPMorgan Chase & Co	$126,790	Macintosh HD:Users:enickles:Desktop:thumbsbw:Maloney_Carolyn_B.jpg
Democratic	Representative	New York	Sean Patrick Maloney	Agriculture   Transportation and Infrastructure 	Agriculture  	Transportation and Infrastructure 						5	293	$0	Lawyers/Law Firms	$1,199,163	Willkie, Farr & Gallagher	$97,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Maloney_Sean_Patrick.jpg
Democratic	Senator	Massachusetts	Edward J. Markey	Commerce, Science, and Transportation Environment and Public Works  Foreign Relations Small Business and Entrepreneurship	Commerce, Science, and Transportation	Environment and Public Works 	Foreign Relations	Small Business and Entrepreneurship				5	293	$0	Lawyers/Law Firms	$2,966,203	League of Conservation Voters	$215,421	Macintosh HD:Users:enickles:Desktop:thumbsbw:Markey_Edward_J.jpg
Democratic	Representative	California	Doris O. Matsui	Energy and Commerce 	Energy and Commerce 							13	293	$0	Lawyers/Law Firms	$642,607	Kelley, Drye & Warren	$81,749	Macintosh HD:Users:enickles:Desktop:thumbsbw:Matsui_Doris_O.jpg
Democratic	Representative	Minnesota	Betty McCollum	Appropriations 	Appropriations 							17	293	$0	Lawyers/Law Firms	$490,552	EMILY's List	$135,984	Macintosh HD:Users:enickles:Desktop:thumbsbw:McCollum_Betty.jpg
Democratic	Representative	Virginia	A. Donald McEachin	Armed Services   Natural Resources 	Armed Services  	Natural Resources 						1	293	$0	Lawyers/Law Firms	$35,278	Dominion Resources	$13,449	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	Massachusetts	James P. McGovern	Agriculture   Rules 	Agriculture  	Rules 						21	293	$0	Lawyers/Law Firms	$632,182	American Assn for Justice	$100,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:McGovern_James_P.jpg
Democratic	Representative	New York	Gregory W. Meeks	Financial Services   Foreign Affairs 	Financial Services  	Foreign Affairs 						21	293	$0	Securities & Investment	$824,355	National Assn of Realtors	$93,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Meeks_Gregory_W.jpg
Democratic	Senator	New Jersey	Robert Menendez	Banking, Housing, and Urban Affairs Finance  Committee on Foreign Relations	Banking, Housing, and Urban Affairs	Finance 	Committee on Foreign Relations					12	293	$0	Lawyers/Law Firms	$4,902,014	Lowenstein Sandler LLP	$327,507	Macintosh HD:Users:enickles:Desktop:thumbsbw:Menendez_Robert.jpg
Democratic	Representative	New York	Grace Meng	Appropriations 	Appropriations 							5	293	$0	Real Estate	$225,233	American Federation of Teachers	$35,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Meng_Grace.jpg
Democratic	Representative	Wisconsin	Gwen Moore	Financial Services 	Financial Services 							13	293	$0	Insurance	$634,700	United Auto Workers	$80,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Moore_Gwen.jpg
Democratic	Representative	Massachusetts	Seth Moulton	Armed Services   Budget 	Armed Services  	Budget 						3	293	$0	Democratic/Liberal	$1,292,585	Democracy Engine	$1,175,369	Macintosh HD:Users:enickles:Desktop:thumbsbw:Moulton_Seth.jpg
Democratic	Representative	New York	Jerrold Nadler	Judiciary 	Judiciary 							27	293	$0	Lawyers/Law Firms	$1,714,565	American Assn for Justice	$122,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Nadler_Jerrold.jpg
Democratic	Representative	California	Grace F. Napolitano	Natural Resources   Transportation and Infrastructure 	Natural Resources  	Transportation and Infrastructure 						19	293	$0	Transportation Unions	$347,500	National Assn of Realtors	$87,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Napolitano_Grace_F.jpg
Democratic	Representative	Massachusetts	Richard E. Neal	Ways and Means  Joint Commitee on Taxation	Ways and Means 	Joint Commitee on Taxation						29	293	$0	Insurance	$2,241,456	Massachusetts Mutual Life Insurance	$391,682	Macintosh HD:Users:enickles:Desktop:thumbsbw:Neal_Richard_E.jpg
